,nct_id,description,title,intervention_name,disease,keyword,outcome_measure,criteria,reference,overall_status
51,NCT03759990,"80 lean (BMI<35) and morbidly obese (BMI>35) patients undergoing elective surgery were enrolled in this prospective ransomİzed study were intubated using McGrath MAC X-Blade. The demographic and airway variables of patients and insertion and intubation times with these dievices, need for optimisation maneuvers, hemodynamic changes and minör postoperative complications were recorded.",Tracheal Intubation in Morbidly Obese (BMI>35) and in Lean (BMI<30) Patients Using McGrath MAC X-Blade,"lean, obese","Obesity, Morbid","videolaryngoscope, Airtraq, McGrath MAC, Morbid obesity, intubation",intubation time,Inclusion Criteria: > 18 age <65 age~bmı 35~undergoing elective surgery requiring endotracheal intubation~Exclusion Criteria: -pregnant~<18 and >65 years of age~bmı<35~upper respiratory tract infection past ten days,none,Completed
52,NCT03759977,"This study measures the effects of an Adapted Physical Activity on postural control of residents in nursing home. Half of participants will follow a program training 3 times a week during 8 weeks, while the other half will receive the usual accompaniment.",Effects of an Adapted Physical Activity on the Postural Control of Residents in Nursing Home.,Adapted Physical Activity,Postural Control,"elderly, adapted physical activity, nursing home, postural control","Postural control, Habitual gait speed in meter per seconde, Gait variability in percentage, Gait asymmetry in percentage, Short Physical Performance Battery test, General quality of life, Depression, Fear of falling",Inclusion Criteria:~Able to walk 20 meters with or without auxiliary help~Able to stand 1 minute without help~Health status considered stable~Life expectancy greater than 6 months~No major cognitive impairment preventing them from understanding a simple instruction~No severe visual impairment~No severe deafness~Understanding french~Able to discern~Exclusion Criteria:~Unable to walk 20 meters with or without auxiliary help~Unable to stand 1 minute without help~Health status considered unstable~Estimated life expectancy at less than 6 months~Major cognitive impairment preventing them from understanding a simple instruction~Severe visual impairment~Severe deafness~Not understanding french~Inability to discern,none,Completed
53,NCT03759964,"Several studies using new forms of intravenous iron showed that it is effective in treating perioperative anemia in orthopedic and digestive surgery. Effects of ferric carboxymaltose have not been assessed in the settings of cardiac surgery.~This study will compare ferric carboxymaltose to placebo in a randomized trial design where ferric carboxymaltose / placebo will be administered in the postoperative period (Day 1) after cardiac surgery. A total sample size of 200 patients (100 per group) will be needed.~The FCAACS trial will assess the impact of administering intravenous iron (Ferric carboxymaltose) after cardiac surgery with cardiopulmonary bypass (CPB) on the:~incidence of postoperative anemia~incidence of postoperative transfusion~incidence of complications related to intravenous iron~All the surgeries will be performed by the same surgical team and follow-up will be ensured by the same Cardiac Surgery Unit (CSU) team according to department's standard protocols.~Participants in the Ferric carboxymaltose group will receive 1g of Ferric carboxymaltose diluted in 100 mL of IV isotonic serum saline, whereas participants in the Placebo group will receive 100 mL of IV Placebo",Effects of Ferinject® on Anemia and Transfusion Rates After Cardiac Surgery,"Ferric carboxymaltose, Placebo","Anemia, Iron Deficiency","cardiac surgery, ferric carboxymaltose, anemia, transfusion","Change in level of hemoglobin (g/dL) from preoperative until day 30 after surgery, change in Hematocrit from preoperative until day 30 after surgery (final value), Change in Reticulocytes count from preoperative until day 30 after surgery (final value), Change in Percentage of transferrin from preoperative until day 30 after surgery (final value), Change in Ferritin from preoperative until day 30 after surgery (final value), Number of red cell packs transfused (final value), Total bleeding (mL) until drain removal (final value), Time to tracheal tube removal, measured in hours (final value), Length of stay in the CSU measured in Days, Surgical exploration for bleeding (Boolean, proportion), Complications related to administration of Ferric carboxymaltose (proportion)","Inclusion Criteria:~Adult patients admitted for elective cardiac surgery under cardiopulmonary bypass, with no exclusion criteria, and having signed an informed consent, will be enrolled in the study.~Exclusion Criteria:~Patients < 18 years~Urgent surgery~Off-pump cardiac surgery~Redo cardiac surgery~Preoperative anemia (Hb < 10g/l or Ht < 30%)~Transfusion within 72h preoperatively~Pregnancy~History of asthma or other specific allergies~History of allergy to iron~Acute infection~Hepatic insufficiency~Renal insufficiency (creatinine Clearance < 30ml/min)",none,Completed
54,NCT03759938,"OPTIMAS is a large, prospective, partially blinded randomised controlled trial of early (within ≤4 days [96hrs]) or standard (between day 7 and day 14 after stroke onset) initiation of anticoagulation after stroke in patients with atrial fibrillation (AF), using any licensed dose of a direct oral anticoagulant (DOAC). The trial will use a non-inferiority gatekeeper approach to test for non-inferiority of early anticoagulation followed by a test for superiority, if non-inferiority is established.",OPTIMAS: OPtimal TIMing of Anticoagulation After Acute Ischaemic Stroke : a Randomised Controlled Trial,Direct oral anticoagulant (DOAC),"Stroke, Acute, Atrial Fibrillation","ischaemic stroke, atrial fibrilation","Composite outcome of the combined incidence of:recurrent symptomatic ischaemic stroke,symptomatic intracranial haemorrhage and systemic embolism, All-cause mortality, Incidence of vascular death, Incidence of recurrent ischaemic stroke, Incidence of systemic embolism, Incidence of venous thromboembolism (deep vein thrombosis [DVT], pulmonary embolism [PE], cerebral venous thrombosis [CVT]), Functional status assessed by the modified Rankin scale (mRS) in both arms, Cognitive ability assessed by the Montreal Cognitive Assessment (MoCA) questionnaire in both arms, Quality of life at 90 days assessed by EuroQol 5 Dimensions 5 level questionnaire [EQ-5D-5L] in both arms, Patient reported outcomes assessed by the Patient-Reported Outcomes Measurement Information System Global Health questionnaire (PROMIS-10) in both arms., Ongoing anticoagulation, Time to first incidence of primary outcome component (recurrent ischaemic stroke, systemic embolism, or sICH), Length of hospital stay for stroke-related care, Health and social care resource use, Incidence of symptomatic intracranial haemorrhage (sICH), Incidence of major extracranial bleeding, Incidence of all major bleeding (intracranial and extracranial), Incidence of clinically relevant non-major bleeding, Ongoing anticoagulation at 90 days, Individual cognitive domain subscores","Inclusion Criteria:~Aged 18 years or over~Clinical diagnosis of acute ischaemic stroke~AF, confirmed by any of:~12-lead ECG recording~Inpatient ECG telemetry~Other prolonged ECG monitoring technique (e.g. Holter monitor)~Known diagnosis of atrial fibrillation verified by medical records (e.g. primary care records, letter from secondary care)~Eligibility to commence DOAC in accordance with approved prescribing recommendations confirmed by treating physician~Uncertainty on the part of the treating physician regarding early versus standard initiation of DOAC.~Exclusion Criteria:~Contraindication to anticoagulation:~Coagulopathy or current or recent anticoagulation with vitamin K antagonist (VKA) leading to INR ≥1.7 at randomisation.~Thrombocytopenia (platelets < 75 x 10⁹/L)~Other coagulopathy or bleeding tendency (based on clinical history or laboratory parameters) judged to contraindicate anticoagulation by treating clinician~Contraindication to early anticoagulation~Known presence of haemorrhagic transformation with parenchymal haematoma occupying >30% of the infarct volume and exerting significant mass effect (i.e. PH2) (NB: HI1, HI2 and PH1 are not considered contraindications)~Presence of clinically significant intracranial haemorrhage unrelated to qualifying infarct~Any other contraindication to early anticoagulation as judged by the treating clinician~Contraindication to use of DOAC:~Known allergy or intolerance to both Factor Xa inhibitor and direct thrombin inhibitor~Definite indication for VKA treatment e.g. mechanical heart valve, valvular AF, antiphospholipid syndrome~Severe renal impairment with creatinine clearance (Cockcroft & Gault formula) <15 mL/min (i.e. 14 mL/min or less)~Liver function tests ALT > 2x ULN~Cirrhotic patients with Child Pugh score equating to grade B or C~Patient is taking medication with significant interaction with DOAC, including:~Azole antifungals (e.g. ketoconazole, itraconazole)~HIV protease inhibitors (e.g. ritonavir)~Strong CYP3A4 inducers (e.g. rifampicin, phenytoin, carbamazepine, phenobarbital or St. John's Wort)~Dronedarone~Pregnant or breastfeeding women~Presence on acute brain imaging of non-stroke pathology judged likely to explain clinical presentation (e.g. mass lesion, encephalitis)~Inability for patient to be followed up within 90 days of trial entry~Patient or representative refusal to consent to study procedures, including the site informing GP and healthcare professional responsible for anticoagulation care of participants~Any other reason that the PI considers would make the patient unsuitable to enter OPTIMAS.~Note that current DOAC treatment is NOT an exclusion criterion, as long as the treating physician considers it appropriate to restart (or continue) according to the timings specified in the OPTIMAS trial protocol. Continuation of the DOAC would be recorded as a start time of zero hours.", Optimal timing of anticoagulation after acute ischemic stroke with atrial fibrillation (OPTIMAS): Protocol for a randomized controlled trial,Recruiting
55,NCT03759899,hAECs Are Preliminarily Applied in Allogeneic Hematopoietic Stem Cell Transplantation,hAECs Are Preliminarily Applied in Allogeneic Hematopoietic Stem Cell Transplantation,none,Leukemia,none,"Cell counts of T cells, NK cells, B cells and monocytes","Inclusion Criteria:~leukemia patients with allogeneic HSCT~KFS score >90~after transplantation, the patient was implanted (peripheral blood neutrophil absolute value >500/ul for 3 consecutive days)~no uncontrolled infection after transplantation~activity II above aGVHD~patients agreed to participate in the study~Exclusion Criteria:~patients refused to participate in the study~patients have poor compliance~has received hormone therapy~patients had serious heart, lung, liver, kidney and other vital organs damage~researchers believe that patients who are not suitable for observation study",none,Recruiting
56,NCT04589286,"Autologous stem cell transplantation (SCT) is the standard of care for fit multiple myeloma (MM) patients; however, the first 100 days after SCT are marked by extensive life disruptions. We have found a 56% relative increase in the use of high-risk benzodiazepine and Z-class (B/Z) drugs for anxiety and insomnia among MM patients during this period. Digital life coaching (DLC), whereby trained coaches work longitudinally with patients through phone calls and text messages to accomplish personal goals, may be able to target anxiety and insomnia in a more integrative manner. This study will investigate whether peri-SCT DLC can lower B/Z usage and improve patient-reported well-being.",Randomized Study of Digital Life Coaching in Myeloma Patients Undergoing Transplantation,"Pack Health's Digital Life Coaching (DLC), Electronic Handouts","Multiple Myeloma, Stem Cell Transplant","Digital life coaching, Multiple myeloma, Stem cell transplantation","Comparison of patients with >=1 benzodiazepine and Z-class (B/Z) prescriptions (versus < 1 B/Z prescriptions), Estimate change in B/Z usage, Number of participants with a missing Patient Reported Outcome Measurement Information System (PROMIS) Global Health (GH) assessment, Number of participants with a missing NCCN Distress Thermometer (DT) assessment, Number of participants with a missing PROMIS Sleep Disturbance SF-4a inventory, Change in PROMIS Global Health (GH) Scale Scores, Change in NCCN Distress Thermometer (DT) Scores, Change in PROMIS 4-item Sleep Disturbance Short Form (SF-4a) Scores","Inclusion Criteria:~Confirmed diagnosis of one of the following (all referred to as multiple myeloma (MM) for the purposes of this protocol):~Multiple myeloma (ICD-10 code: C90.0)~Extramedullary plasmacytoma (ICD-10 code: C90.2)~Planned receipt of autologous stem cell transplantation (SCT) at University of California, San Francisco (UCSF)~Patients undergoing outpatient SCT will be eligible~Patients who received chemomobilization will be eligible~Ability to understand a written informed consent form (ICF) document, and the willingness to sign the ICF document~Exclusion Criteria:~Age < 18 years~SCT as salvage therapy~Patient-assessed lack of sufficient English proficiency~Lack of ownership of a personal smartphone",none,"Active, not recruiting"
57,NCT03759886,"The investigators perform a case-control study to compare preparation before elective colorectal surgery. The first group is a prospective patient - registry in all patients with mechanical bowel preparation (MBP) and oral antibiotic prophylaxis the day before colorectal surgery. The second group is a historic collective of patients with MBP only and colorectal surgery. The cases were matches in American Society of Anesthesiologists (ASA) physical status classification system, BMI, operative procedure and risk factors.",Oral Antibiotic Prophylaxis in Colorectal Surgery,Paromomycin Sulfate Powder,"Surgical Site Infection, Anastomotic Leak",none,"Surgical Site Infections, Anastomotic Leak",Inclusion Criteria:~all colorectal resections~Exclusion Criteria:~allergy, Mechanical plus oral bowel preparation with paromomycin and metronidazole reduces infectious complications in elective colorectal surgery: a matched case-control study,Unknown status
58,NCT03759860,"The objective of this clinical trial is to compare and evaluate the safety and efficacy of Ranibizumab (Lucentis®; Novartis AG, Basel, Switzerland) monotherapy and Ranibizumab combined with R:GEN (Selective Retina Therapy) in patients with clinically significant diabetic macular edema.",Laser (Selective Retina Therapy) and Drug Combined Intervention in Clinically Significant Diabetic Macular Edema,R:GEN laser treatment (Selective Retina Therapy) and Lucentis (ranibizumab) combination therapy,Diabetic Macular Edema,none,"Best Corrected Visual Acuity (BCVA) change in the study group, Best Corrected Visual Acuity (BCVA) change in the study group, Central Macular Thickness (CMT) change in the study group, Maximum Macular Thickness (MMT) change in the study group, Rate and number of Ranibizumab re-performance in the study group, Adverse Event analysis","Inclusion Criteria:~Adults older than 19 years of age~Patients with Type-I or Type-II diabetes~Patients diagnosed with Clinically Significant Diabetic macular edema (CSME) based on the criteria of Early Treatment Diabetic Retinopathy Study (ETDRS).~If thickened retina is within or lies on the circle with a radius of 500µm from the center of the fovea, or~If the hard exudate is within or lies on the circle with a radius of 500 ㎛ and if the retina adjacent to it is thickened, or~If there is a thickened retina larger than 1 disc area and if a part of it is over the circle with a radius of 1 disc diameter from the center of the macula.~Central Macular Thickness (CMT) of study eye is more than 300㎛ on OCT~Patients with BCVA of the study eye between 20/320 and 20/25.~Patients who have agreed to participate in this study and signed the consent form, and patients whose legally acceptable representative signed the consent form~Exclusion Criteria:~Patients with Ischemic DME that showed rupture in the Foveal Avascular Zone due to the obstruction of more than 30% of the capillary vessels in the central circle, as observed using fluorescein angiography~Patients with a history of focal steroid treatment in the study eye within 4 months~Patients with a history of anti-VEGF agent injection in the study eye within 3 months~Patients with rubeosis iridis, vitreous hemorrhage or tractional retinal detachment in the study eye~Patients with uncontrolled glaucoma in the study eye~Patients with active inflammation or infection in the study eye (in or around the eye)~Patients with disorders in the study eye that may confuse interpretation of the clinical trial results, cause severe visual loss, and require medical or surgical intervention during the study, based on the investigator's judgment (media opacity such as corneal opacity, cataract, and vitreous opacity, vitreous macular traction, uveitis, macular atrophy, macular degeneration, choroidal neovascularization, retinal vascular occlusion)~Persons with a history of treatment with anti-VEGF drugs within the past 6 months, or if they anticipate future use (e.g.: sorafenib (Nexavar®), sunitinib (Sutent®), bevacizumab (Avastin®))~Persons with confirmed allergy to fluorescein, indocyanine green or iodine~Patients with a clinically significant disorder such as uncontrolled renal failure that would make it difficult for them to participate in this study, based on the investigator's judgment~Pregnant or lactating woman~Patient not using contraception or with a possibility of pregnancy during the clinical trial period~Other persons deemed to be difficult to participate in this study, based on the investigator's judgment~Persons participating in a study other than observational or non-interventional study",none,Unknown status
59,NCT03759821,This study aims to evaluate the independent and combined effectiveness of engaging both mothers and fathers in bundled parenting and nutrition behavior change packages on early child nutrition and development.,Engaging Fathers for Effective Child Nutrition and Development in Tanzania,"Nutrition, mothers, Nutrition, mothers and fathers, Nutrition+parenting, mothers, Nutrition+parenting, mothers and fathers",Child Nutrition and Early Child Development,"Early childhood development, Social and behavior change, Father involvement, Male engagement, Household decision-making, Community health workers, Peer groups, Integrated interventions, Parenting, Infant and young child feeding, Nutrition, Stimulation","Change in child dietary diversity (24 hrs), Change in early child development, Child dietary diversity (7 days), Child nutrition status, Proportion of children who meet minimum meal frequency guidelines, Parent-child interactions, Caregiver early childhood development (ECD) knowledge, Caregiver infant and young child feeding (IYCF) knowledge, Change from baseline in household food allocation of animal source foods, Responsive feeding practices, Caregiver stimulation practices, Co-parenting, Couples' communication (frequency, quality) and decision-making, Gender equitable attitudes, Proportion of households with observed animal feces in house or compound, Time use patterns, Proportion of households that purify drinking water, Change in frequency of caregiver handwashing with cleansing agent at critical times during the past 24 hours, Change in frequency of child handwashing with cleansing agent at critical times during the past 24 hours, Caregiver water, sanitation, and hygiene (WASH) knowledge, Maternal and paternal depressive symptoms, Intimate partner violence (IPV), Parenting stress","Inclusion Criteria:~Household has a child aged 0-18 months at study enrollment~Child has a mother/female caregiver with a male partner~Mother, father, and child anticipate remaining in the study area for the duration of the study~The mother, and father where appropriate, is willing to participate in a peer group for the duration of the intervention, receiving full knowledge of the amount of time they are expected to contribute to this study.~Both mother and father provide informed consent.~Fathers have to be present in household with mother/child 10 months out of the year~Exclusion Criteria:~None (only those households not meeting all the above criteria will be excluded from the study)"," Gender and Age Differences in Meal Structures, Food Away from Home, Chrono-Nutrition, and Nutrition Intakes among Adults and Children in Tanzania Using a Newly Developed Tablet-Based 24-Hour Recall Tool",Completed
60,NCT03759782,"Hepatitis B virus (HBV) leads to life-threatening disease like liver failure and liver cancer. For most, a cure is unattainable as current HBV antiviral therapy (using nucleoside analogues) are not able to clear the virus from their liver. While HBV treatments are typically administered alone (monotherapy), this study will explore the use of Ribavirin in combination with standard therapy to enhance current treatment regimens. Ribavirin is commonly used to treat Hepatitis C Virus (HCV) but there is evidence that Ribavirin also induces immune effects that are beneficial in HBV treatment. The aim of this study is to determine whether combination of Ribavirin and a nucleoside analog is more effective compared to nucleoside analog treatment alone. Enrolled patients will be followed for treatment response according to standard clinical and virological tests, as well as immune response to HBV. Our ultimate goal is to find a more effective treatment and improve health outcomes for persons living with HBV.",Ribavirin to Enhance Hepatitis B Virus Nucleotide Analog Antiviral Activity,"Ribavirin, Tenofovir","Hepatitis B, Chronic",none,"The Decline of Participants Serum HBV DNA values for both study arms at each study., Fibroscan score, Liver enzyme values, Number of participants with treatment related adverse events as assessed by CTCAE v4.0.","Inclusion Criteria:~HBV Hepatitis B surface antigen (HBsAg) positive for a minimum of 24 weeks~HBV DNA level >20,000 IU/mL~≥ 18 years of age~Exclusion Criteria:~Willingness and ability to sign an informed consent~HBV nucleos(t)ides and/or interferon exposure within 24 weeks of study medication dosing~HIV and other immune compromising condition (e.g. cancer with the exception of non-invasive cutaneous malignancy, autoimmune condition) or therapy (i.e. systemic steroids, chemotherapy)~HCV co-infected~Cirrhosis (defined by biopsy criteria or as >18.4 kilopascal (kPa) by transient elastography)~Creatinine Clearance <60 ml/min~Baseline hemoglobin <130 g/L in males and <120 g/L in females~Unwilling or unable to use contraception (unless confirmed surgical sterilization)~Pregnancy confirmed by blood test",none,Recruiting
61,NCT03759769,This study evaluates the effectiveness of a wheelchair simulator in the training of power wheelchair driving skills. Practice with the simulator takes place at home.,The McGill Wheelchair Simulator,"Wheelchair simulator, Video game",Wheelchair (Powered) Colliding With Stationary Object,"power wheelchair, virtual reality, skills","change in Wheelchair Skills Test (WST), change in wheelchair confidence (WheelCon), change in appreciation of assistive technology (ATOP/M), change in life-space mobility (LSA)","Inclusion Criteria:~1) participants are between 18 and 65 years of age; 2) have received their first PW within the last 3 months; 3) are living at home or in a long-term care facility (i.e., not currently hospitalized); 4) drive their PW with a hand-controlled joystick; 5) are able to follow directions in either French or English as determined by their medical chart from the rehabilitation center; 6) have no significant visual impairments not corrected by eyewear; and 7) show sufficient cognition to participate in training (Mini-mental State Exam>25).~Exclusion Criteria:~1) participants have baseline WST score greater than 85; 2) they have unstable medical conditions as determined by their medical chart (e.g. angina, seizures that may be exacerbated by the simulator)",none,Completed
62,NCT03758430,"The main purpose of this study is to determine whether combining meal, glucose, and insulin data in a web-based system will improve management of type 1 diabetes (T1D). No study drug will be given. The study will last about 18 weeks.",A Study of Technology to Improve Glucose Control in Participants With Type 1 Diabetes,"Meal-Tagging App, Fitness Tracker","Diabetes Mellitus, Type 1",none,"Change from Baseline to Week 16 in Hemoglobin A1c (HbA1c), Change from Baseline to Week 16 in Post-Prandial Glucose Concentrations Following Commonly Eaten Meals","Inclusion Criteria:~T1D by clinical diagnosis for > 3 years~Insulin pump use > 3 months: must use one of the following pump types: Animas Ping and Vibe, Insulet Omnipod, Medtronic 523/723 and 530G, Tandem t:slim and t:flex~Continuous Glucose Monitor (CGM) > 3 months and current use of Dexcom G5 at least 6 out of 7 days per week~HbA1c 7.0-9.5%~Must have iPhone (meal-tagging app has been built on iOS)~Personal computer for uploading of pump and CGM devices~Willingness to follow study protocol including tagging food data~Comfort speaking, reading, and writing English~Exclusion Criteria:~Individuals currently using a hybrid closed-loop system (e.g., Medtronic 670G)~Individuals planning to follow a specific diet plan for weight loss~Inability to consume common meals~Gastroparesis;~Eating disorder~Evidence of missed insulin meal-time insulin boluses on pump download~Use of medications that can affect blood glucose levels (such as SGLT inhibitors, steroid, beta agonists)~Use of medications that affect gastric emptying (such as GLP agonists, pramlinitide)~Alcohol abuse~Pre-conception, pregnancy, or lactation",none,Completed
63,NCT03759756,"Esophageal squamous cell carcinoma is one of the most common malignant tumor of upper digestive tract. However, the detection rate and diagnosis accuracy of early esophageal squamous cell cancer is low. The aim of this study is to develop a computer-assisted diagnosis tool combining with optical magnifying endoscopy for early detection and accurate diagnosis of it.",Artificial Intelligence for Early Diagnosis of Esophageal Squamous Cell Carcinoma,"AI presentation, no AI presentation","Artificial Intelligence, Optical Enhancement Endoscopy, Magnifying Endoscopy",none,the diagnosis efficiency of the AI model,"Inclusion Criteria:~high risk patients for esophageal cancer aged 18 years or older;~Histologically verified early esophageal squamous cell cancer.~Exclusion Criteria:~patients whose images of esophagus not suitable for the training, validation and testing the computer-assist diagnosis tool.",none,Completed
64,NCT02283411,The purpose of the study is to evaluate the safety and effectiveness of the Abbott Sensor Based Glucose Monitoring System Personal (System-P) and Abbott Sensor Based Glucose Monitoring System Professional (System-Pro) when used as an adjunct to blood glucose testing over a 14-day wear period in adult subjects. The Abbott Sensor Based Glucose Monitoring System - Professional Sensors will be worn by adult subjects over a 14-day wear period.~The primary objective is to characterize the Systems performance with respect to Yellow Spring Instrument (YSI) reference venous sample measurements. The device performance will be primarily evaluated in terms of point and rate accuracy of the Abbott Sensor Based Glucose Monitoring Systems in reference to YSI.~Safety of the Abbott Sensor Based Glucose Monitoring Systems will be characterized by Adverse Device Effects and Serious Adverse Device Effects experienced by study participants.~240 subjects will be enrolled and additional healthy subjects may also be enrolled in the study as training subjects.,Effectiveness and Safety Study of the Abbott Sensor Based Glucose Monitoring Systems,Abbott Sensor Based Glucose Monitoring System,"Diabetes Mellitus, Type 1, Diabetes Mellitus, Type 2",none,"The Device Performance Was Evaluated in Terms of Point Accuracy of the Abbott Sensor Based Glucose Monitoring Systems in Reference to Yellow Spring Instrument (YSI)., Safety of the Abbott Sensor Based Glucose Monitoring Systems Was Characterized by Adverse Device Effects and Serious Adverse Device Effects Experienced by Study Participants., The Trend Accuracy of the System P Device Performance Was Evaluated., The Temporal System Accuracy at Different Glucose Rates of Change and Different Glucose Ranges (Hypoglycemic, Euglycemic, and Hyperglycemic Ranges) Was Evaluated., The Point Accuracy of the Device Performance Was Evaluated in Reference to Capillary Blood Glucose (BG).","Inclusion Criteria:~Subject must be at least 18 years of age.~Subject must have a diagnosis of type 1 or type 2 diabetes mellitus.~Use one of the following for their diabetes management:~intensive insulin therapy (insulin therapy through an insulin pump and/or multiple daily insulin injections) or~non-intensive insulin therapy (Basal insulin, injectable non-insulin anti-diabetic agents such as a pramlintide or GLP-1 agonists, NPH insulin either alone or in combination with regular insulin or fast acting insulin analogue, or oral medication)~Intensive-insulin using (IIT) subjects only - During one of the in-clinic sessions, subject is willing to have their blood glucose levels manipulated into high and low glucose levels. Insulin-to-carbohydrate ratio and insulin sensitivity formula must be documented prior to having blood glucose levels manipulated. NIT subjects will only be observed during each in-clinic session.~For subjects that exercise routinely (at least 3 times per week), willing to exercise during at least one of the in-clinic sessions, if asked.~Willing to perform a minimum of 8 finger sticks per day during the study.~Subject must be able to read and understand English.~In the investigator's opinion, the subject must be able to follow the instructions provided to him/her by the study site and perform all study tasks as specified by the protocol.~Subject must be available to participate in all study visits.~Subject must be willing and able to provide written signed and dated informed consent.~Exclusion Criteria:~Subject has known allergy to medical grade adhesive or isopropyl alcohol used to disinfect skin.~Subject is pregnant, is attempting to conceive or is not willing and able to practice birth control during the study duration (applicable to female subjects only).~Subject has extensive skin changes/diseases at the proposed application sites that could interfere with device placement or the accuracy of interstitial glucose measurements. Such conditions include, but are not limited to extensive psoriasis, recent burns or severe sunburn, extensive eczema, extensive scarring, dermatitis herpetiformis, skin lesions, redness, infection or edema.~Subject is on dialysis.~Subject has a history of untreated hypothyroidism, adrenal gland failure or insufficiency, celiac disease, renal failure, cystic fibrosis, unstable coronary heart disease, or serious psychiatric disorders.~Subjects with a history of hypoglycemia unawareness, hypoglycemic seizures or unconsciousness.~Subjects who have experienced diabetes-related complications requiring assistance from another person in the last six months.~Subject currently is participating in another clinical trial.~Subject has donated blood within 112 days (3.7 months) prior to the beginning of the study activities.~Subject is anemic.~Subject does not have a known insulin to carbohydrate ratio at the time of enrollment (IIT subjects only).~Subject has concomitant medical condition which, in the opinion of the investigator, could interfere with the study or present a risk to the safety or welfare of the subject or study staff. Such conditions include but are not limited to:~- History of HIV, Hepatitis B or C~Subject has X-ray, MRI or CT appointment scheduled during the period of study participation, and the appointment cannot be rescheduled for a time before study participation starts or after study participation ends.~Subject has an abnormal EKG, unless cleared for study participation by a cardiologist.~Subject is unsuitable for participation due to any other cause as determined by the Investigator.~Additional Criteria~The following subjects may participate in the study but will be excluded from all glycemic and exercise challenges:~Subject's taking medications known to mask symptoms or hypoglycemia, such as beta blockers;~Subjects with any of the following: clinically significant history of cardiovascular or cerebrovascular disease, cardiac arrhythmia, neurological disorders such as seizures, CVA, or syncope, or hypokalemia.",none,Completed
65,NCT02283528,Patients who sustain a fracture of the lower jaw are typically treated by wiring the teeth together or using small titanium plates and screws to fix the fracture. With either technique the upper and lower teeth are held together to ensure that the fracture is held in the correct position during healing (for closed reduction) or while the plate and screws are applied (for open reduction).~The teeth can be held together using Erich arch bars which are a type of braces that are temporarily wired to the existing teeth. These stay in place for 6 weeks until the fracture has healed even though the patient is able to open his mouth immediately after the surgery is complete. The alternative to the traditional Erich arch bars is a relatively new type of arch bar (Stryker Hybrid) that is screwed to the jaw bone rather than wired to the teeth. The purpose of this study is to compare the two types of arch bars in terms of the speed with which they can be applied as well as any difference in fracture healing,A Comparison of Stryker Hybrid Arch Bars,"Stryker Hybrid, Erich",Fracture Mandible,none,"Time to Place Archbars, Number of Participants With Fracture Healing at 6 Weeks, Number of Participants With Complications Including Loosening of Archbars, Loosening of MMF, or Damage to Adjacent Teeth and Structures","Inclusion Criteria:~Mandible fracture involving subcondyle, ramus, angle, body, parasymphysis and symphysis~Age 18 years - 90 years~Ability to give informed consent~Minimum 6 weeks follow-up~Pre and post-operative panoramic xrays~Exclusion Criteria:~Comminuted fractures~Infected fractures~Previously treated fractures~Complete edentulism~Gun shot wounds~Pregnancy or breast feeding",none,Completed
